Country,Product,Stock proposed for next year
Brazil,Polar Extreme,166
Brazil,Sun Shelter 15,-2484
Brazil,Firefly Lite,3303
Brazil,Star Dome,1091
Brazil,Mountain Man Extreme,137
Brazil,Calamine Relief,-373
Brazil,Auto Pilot,743
Brazil,Hibernator Pad,3807
Brazil,Opera Vision,-392
Brazil,TrailChef Cup,12890
Brazil,Polar Sun,4875
Brazil,Pocket Gizmo,5447
Brazil,Glacier Basic,8029
Brazil,Hibernator Extreme,2236
Brazil,Firefly Multi-light,1743
Brazil,Sam,6562
Brazil,Sun Shield,-1939
Brazil,Single Edge,25680
Brazil,Lady Hailstorm Steel Woods Set,490
Brazil,Glacier GPS,3491
Brazil,Flicker Lantern,1130
Brazil,Sky Pilot,487
Brazil,Aloe Relief,-366
Brazil,Granite Chalk Bag,2807
Brazil,Star Gazer 6,282
Brazil,Granite Pulley,5711
Brazil,Lux,1029
Brazil,Granite Hammer,2972
Brazil,Ranger Vision,2553
Brazil,Lady Hailstorm Steel Irons,505
Brazil,Kodiak,-213
Brazil,Canyon Mule Climber Backpack,4875
Brazil,TrailChef Cook Set,4353
Brazil,Cat Eye,25067
Brazil,Firefly Charger,4343
Brazil,Hailstorm Steel Woods Set,1085
Brazil,Husky Harness Extreme,4958
Brazil,Glacier GPS Extreme,1146
Brazil,Course Pro Golf Bag,681
Brazil,Max Gizmo,2771
Brazil,Hailstorm Steel Irons,1016
Brazil,Firefly Climbing Lamp,3308
Brazil,TrailChef Water Bag,24804
Brazil,Firefly Mapreader,4963
Brazil,Hailstorm Titanium Irons,906
Brazil,TrailChef Double Flame,1281
Brazil,Canyon Mule Cooler,8584
Brazil,Canyon Mule Journey Backpack,2597
Brazil,Polar Ice,995
Brazil,Mountain Man Combination,152
Brazil,Bella,5841
Brazil,Seeker 50,1290
Brazil,Bear Edge,2389
Brazil,BugShield Lotion,-2291
Brazil,TrailChef Canteen,4928
Brazil,Sun Shelter Stick,-1521
Brazil,Venue,753
Brazil,Zone,26425
Brazil,Trail Scout,-146
Brazil,Husky Rope 60,1139
Brazil,Hibernator,3414
Brazil,TX,2918
Brazil,Sun Shelter 30,-3699
Brazil,Firefly Extreme,966
Brazil,Canyon Mule Weekender Backpack,2398
Brazil,TrailChef Single Flame,3900
Brazil,Lady Hailstorm Titanium Irons,476
Brazil,Granite Grip,6650
Brazil,Firefly 4,1688
Brazil,TrailChef Utensils,7114
Brazil,Insect Bite Relief,-291
Brazil,Deluxe Family Relief Kit,-335
Brazil,Firefly Rechargeable Battery,19011
Brazil,Seeker 35,2464
Brazil,BugShield Spray,-2144
Brazil,TrailChef Kettle,14428
Brazil,Star Lite,3027
Brazil,Trail Master,-280
Brazil,Star Peg,14537
Brazil,Star Gazer 3,752
Brazil,Hawk Eye,18776
Brazil,EverGlow Single,3896
Brazil,Edge Extreme,2120
Brazil,Lady Hailstorm Titanium Woods Set,497
Brazil,BugShield Lotion Lite,-905
Brazil,Mountain Man Digital,545
Brazil,Hibernator Camp Cot,2111
Brazil,Capri,10018
Brazil,TrailChef Kitchen Kit,4611
Brazil,Polar Sports,3505
Brazil,Bear Survival Edge,892
Brazil,Husky Rope 50,2001
Brazil,Inferno,10784
Brazil,Seeker Extreme,1008
Brazil,Polar Wave,168
Brazil,Double Edge,5011
Brazil,Firefly 2,3105
Brazil,Legend,1089
Brazil,Canyon Mule Extreme Backpack,1113
Brazil,Trendi,-323
Brazil,Hibernator Lite,4272
Brazil,TrailChef Deluxe Cook Set,2456
Brazil,Seeker Mini,1334
Brazil,Canyon Mule Carryall,3030
Brazil,Astro Pilot,3076
Brazil,Course Pro Umbrella,6420
Brazil,Sun Blocker,-1860
Brazil,Star Gazer 2,1832
Brazil,Course Pro Gloves,9449
Brazil,Hibernator Pillow,3107
Brazil,Fairway,12086
Brazil,Mountain Man Analog,2440
Brazil,Infinity,4683
Brazil,Granite Ice,4541
Brazil,Granite Signal Mirror,2126
Brazil,Mountain Man Deluxe,1762
Brazil,Maximus,12402
Brazil,EverGlow Kerosene,1947
Brazil,Granite Axe,10377
Brazil,Husky Rope 100,1837
Brazil,BugShield Natural,-4003
Brazil,Granite Extreme,7450
Brazil,Husky Harness,3618
Brazil,BugShield Extreme,-8043
Brazil,Granite Carabiner,38067
Brazil,Granite Shovel,2203
Brazil,Granite Belay,3733
Brazil,Blue Steel Putter,1078
Brazil,Hailstorm Titanium Woods Set,871
Brazil,Blue Steel Max Putter,1194
Brazil,Glacier Deluxe,1259
Brazil,Course Pro Golf and Tee Set,6777
Brazil,Course Pro Putter,4194
Brazil,Compact Relief Kit,-420
Brazil,EverGlow Butane,692
Brazil,EverGlow Double,297
Brazil,Hibernator Self - Inflating Mat,3057
Brazil,Zodiak,1544
Brazil,Husky Rope 200,894
Brazil,Granite Climbing Helmet,5348
Brazil,Trail Star,-427
Brazil,Dante,3417
Brazil,EverGlow Lamp,7336
Brazil,Retro,18329
Canada,Polar Sports,20302
Canada,Granite Axe,70887
Canada,Trail Master,-1684
Canada,BugShield Natural,-13093
Canada,Granite Chalk Bag,36733
Canada,Granite Ice,37122
Canada,Polar Wave,980
Canada,Husky Rope 100,23252
Canada,TrailChef Double Flame,9874
Canada,Seeker 50,12899
Canada,TrailChef Utensils,32574
Canada,Seeker 35,26906
Canada,Hibernator Self - Inflating Mat,17024
Canada,Glacier Basic,39498
Canada,EverGlow Single,42024
Canada,TrailChef Canteen,51485
Canada,Firefly Charger,38212
Canada,TrailChef Cook Set,48733
Canada,Mountain Man Extreme,1217
Canada,Sun Blocker,-14983
Canada,Lady Hailstorm Steel Woods Set,2308
Canada,Mountain Man Analog,15184
Canada,Canyon Mule Journey Backpack,17279
Canada,Polar Extreme,694
Canada,Bear Edge,21319
Canada,Trail Star,-4709
Canada,Star Gazer 2,12943
Canada,Maximus,65048
Canada,Blue Steel Putter,7081
Canada,Granite Carabiner,481574
Canada,Flicker Lantern,11479
Canada,Sun Shelter 15,-28688
Canada,Sun Shelter 30,-36715
Canada,Aloe Relief,-2656
Canada,BugShield Extreme,-30613
Canada,Mountain Man Deluxe,12360
Canada,BugShield Lotion,-27071
Canada,Firefly Lite,39561
Canada,Hibernator Extreme,16536
Canada,Kodiak,3091
Canada,Pocket Gizmo,39488
Canada,Lux,6613
Canada,Max Gizmo,16223
Canada,Course Pro Golf Bag,3456
Canada,Canyon Mule Weekender Backpack,17187
Canada,Granite Hammer,23286
Canada,Course Pro Gloves,50964
Canada,Granite Pulley,60273
Canada,Star Lite,32308
Canada,Trendi,11559
Canada,Hailstorm Titanium Woods Set,5067
Canada,Legend,3666
Canada,Granite Shovel,15946
Canada,TX,12047
Canada,Sam,47290
Canada,Blue Steel Max Putter,8605
Canada,Ranger Vision,10118
Canada,Hibernator Pad,31574
Canada,Seeker Mini,9197
Canada,Firefly Climbing Lamp,31231
Canada,BugShield Spray,-9525
Canada,Trail Scout,-2685
Canada,Husky Harness,34513
Canada,Husky Rope 50,23564
Canada,Glacier Deluxe,9103
Canada,TrailChef Water Bag,218224
Canada,Fairway,95337
Canada,EverGlow Lamp,51074
Canada,Canyon Mule Cooler,65130
Canada,Course Pro Golf and Tee Set,38418
Canada,Hibernator Camp Cot,18012
Canada,Venue,16398
Canada,Husky Rope 200,10669
Canada,Canyon Mule Extreme Backpack,8773
Canada,Zodiak,12737
Canada,Sky Pilot,3239
Canada,Polar Sun,27481
Canada,Lady Hailstorm Titanium Irons,3612
Canada,TrailChef Single Flame,39531
Canada,Star Peg,103488
Canada,Hibernator,30724
Canada,Granite Signal Mirror,15258
Canada,BugShield Lotion Lite,-15328
Canada,Hibernator Lite,42724
Canada,EverGlow Kerosene,16149
Canada,Calamine Relief,-1569
Canada,Firefly Rechargeable Battery,195507
Canada,TrailChef Cup,127059
Canada,Husky Harness Extreme,50570
Canada,Seeker Extreme,6069
Canada,Inferno,99509
Canada,Glacier GPS Extreme,7677
Canada,Mountain Man Digital,5320
Canada,TrailChef Kitchen Kit,36373
Canada,Polar Ice,5647
Canada,Bear Survival Edge,7693
Canada,Canyon Mule Carryall,26761
Canada,Hawk Eye,109556
Canada,Granite Climbing Helmet,67230
Canada,Hibernator Pillow,23053
Canada,Course Pro Umbrella,31214
Canada,EverGlow Double,2426
Canada,Cat Eye,138655
Canada,Insect Bite Relief,-2850
Canada,Opera Vision,5
Canada,Bella,28959
Canada,Firefly Extreme,8654
Canada,Hailstorm Steel Woods Set,7284
Canada,Hailstorm Titanium Irons,5211
Canada,Retro,100502
Canada,Infinity,25157
Canada,Canyon Mule Climber Backpack,42617
Canada,Star Dome,8701
Canada,Zone,156066
Canada,Star Gazer 3,5655
Canada,Firefly 2,24086
Canada,Dante,21856
Canada,Edge Extreme,16386
Canada,Husky Rope 60,12816
Canada,Compact Relief Kit,-306
Canada,Sun Shield,-31684
Canada,TrailChef Deluxe Cook Set,18166
Canada,Lady Hailstorm Titanium Woods Set,1675
Canada,Sun Shelter Stick,-5418
Canada,Granite Belay,42025
Canada,Deluxe Family Relief Kit,-7747
Canada,Firefly Mapreader,50805
Canada,Granite Extreme,62376
Canada,Hailstorm Steel Irons,6243
Canada,Granite Grip,35252
Canada,Lady Hailstorm Steel Irons,3970
Canada,Glacier GPS,35366
Canada,Course Pro Putter,17740
Canada,Firefly Multi-light,10805
Canada,Mountain Man Combination,1486
Canada,Star Gazer 6,2452
Canada,TrailChef Kettle,104064
Canada,Auto Pilot,2845
Canada,Astro Pilot,14542
Canada,Single Edge,257029
Canada,Capri,46833
Canada,Firefly 4,21744
Canada,EverGlow Butane,6711
Canada,Double Edge,48361
China,Calamine Relief,-864
China,Firefly Mapreader,33214
China,TrailChef Deluxe Cook Set,12065
China,Hibernator Pillow,7506
China,Glacier Deluxe,4614
China,BugShield Lotion Lite,-2611
China,Firefly Climbing Lamp,27092
China,EverGlow Lamp,31670
China,Seeker Extreme,5343
China,Single Edge,54360
China,Hibernator Lite,13935
China,Retro,48431
China,TX,6574
China,Lux,4032
China,Sun Shield,-5227
China,Blue Steel Max Putter,4569
China,Polar Ice,3682
China,Infinity,13629
China,Star Gazer 3,3533
China,Opera Vision,232
China,Star Gazer 2,3677
China,Sun Blocker,-2516
China,Granite Grip,54192
China,Star Lite,13467
China,Trail Master,-525
China,Auto Pilot,1485
China,Firefly Multi-light,4652
China,Aloe Relief,-1154
China,Hibernator Camp Cot,9057
China,Course Pro Golf Bag,3687
China,Kodiak,1981
China,Husky Harness,25100
China,BugShield Lotion,-6976
China,Polar Sun,14581
China,Polar Sports,9914
China,Course Pro Umbrella,32428
China,Hibernator Pad,8687
China,Astro Pilot,7728
China,Zone,87258
China,Legend,2486
China,Firefly Charger,33436
China,Canyon Mule Cooler,30966
China,Granite Shovel,25015
China,Fairway,54504
China,Granite Carabiner,311488
China,Venue,7646
China,Zodiak,7413
China,Max Gizmo,13338
China,Maximus,33347
China,Compact Relief Kit,-1007
China,Bella,16461
China,Canyon Mule Journey Backpack,9128
China,Hailstorm Steel Irons,6521
China,Firefly 4,6702
China,Trendi,11244
China,Husky Rope 60,9253
China,Inferno,53311
China,Granite Ice,49190
China,Mountain Man Combination,531
China,TrailChef Utensils,28707
China,Lady Hailstorm Titanium Irons,3132
China,Granite Hammer,32881
China,Hawk Eye,49811
China,Granite Pulley,45528
China,Star Peg,74447
China,Husky Harness Extreme,36111
China,EverGlow Double,1803
China,Canyon Mule Extreme Backpack,8662
China,Star Gazer 6,778
China,Granite Axe,91896
China,Granite Extreme,74454
China,Canyon Mule Weekender Backpack,5098
China,Course Pro Gloves,47124
China,Insect Bite Relief,-977
China,Firefly Lite,10550
China,Flicker Lantern,4643
China,Mountain Man Digital,2346
China,Deluxe Family Relief Kit,-1522
China,Blue Steel Putter,5568
China,EverGlow Single,27322
China,Trail Scout,-214
China,Lady Hailstorm Titanium Woods Set,2308
China,Seeker 50,6156
China,TrailChef Kitchen Kit,13015
China,Polar Wave,945
China,Canyon Mule Carryall,8944
China,Hailstorm Titanium Woods Set,5698
China,Lady Hailstorm Steel Woods Set,3752
China,Granite Signal Mirror,17949
China,Cat Eye,58981
China,Canyon Mule Climber Backpack,38709
China,TrailChef Cup,59525
China,Lady Hailstorm Steel Irons,3603
China,Firefly Extreme,5976
China,Bear Survival Edge,4632
China,Glacier GPS,13075
China,Polar Extreme,531
China,BugShield Extreme,-1426
China,Bear Edge,16131
China,Granite Chalk Bag,24731
China,Seeker 35,8672
China,Double Edge,21071
China,Mountain Man Analog,5988
China,Hailstorm Steel Woods Set,6634
China,Mountain Man Deluxe,9060
China,Ranger Vision,3251
China,Sun Shelter 30,-9875
China,Capri,27505
China,Edge Extreme,16155
China,Hibernator Extreme,16032
China,Glacier Basic,43718
China,Granite Climbing Helmet,38984
China,TrailChef Kettle,32071
China,Sam,20286
China,Firefly 2,8628
China,Husky Rope 200,8318
China,EverGlow Butane,5612
China,Hibernator Self - Inflating Mat,13792
China,Course Pro Putter,12369
China,TrailChef Cook Set,19803
China,Trail Star,-1137
China,Seeker Mini,3193
China,Granite Belay,30768
China,Husky Rope 100,17981
China,BugShield Spray,-6816
China,Pocket Gizmo,31884
China,Husky Rope 50,11720
China,EverGlow Kerosene,11055
China,BugShield Natural,126
China,TrailChef Double Flame,5454
China,Hibernator,9433
China,Firefly Rechargeable Battery,159362
China,Sky Pilot,1689
China,Star Dome,3243
China,Course Pro Golf and Tee Set,48916
China,Sun Shelter Stick,83
China,TrailChef Water Bag,177820
China,TrailChef Canteen,22099
China,Hailstorm Titanium Irons,6700
China,Glacier GPS Extreme,6095
China,TrailChef Single Flame,24003
China,Dante,21464
