country_en,product_name,2004,2005,2006,2007
Austria,Seeker Extreme,1403,1432,3325,2072
Austria,Opera Vision,1589,966,2866,0
Austria,Sam,20983,6720,13173,14593
Austria,Legend,8873,5667,4390,2031
Austria,Granite Hammer,0,4158,7709,9939
Austria,BugShield Lotion Lite,13719,9664,2272,939
Austria,Dante,40943,26944,29650,17100
Austria,Sun Shield,30560,24755,9022,1553
Austria,Bear Edge,4838,2531,7822,8469
Austria,Compact Relief Kit,3868,2058,909,476
Austria,EverGlow Double,670,1025,1223,1164
Austria,Hibernator Self - Inflating Mat,5128,8002,11757,9381
Austria,Mountain Man Deluxe,1667,1362,7200,6216
Austria,Granite Pulley,0,7694,16895,15469
Austria,TrailChef Cup,14088,26709,40445,50413
Austria,Canyon Mule Extreme Backpack,2561,2021,4406,3577
Austria,Firefly 4,4426,3129,8117,6284
Austria,Cat Eye,70802,47197,40297,55170
Austria,Lady Hailstorm Steel Irons,744,556,1002,845
Austria,Capri,30560,18001,15752,18728
Austria,Mountain Man Digital,1618,1918,2404,3397
Austria,BugShield Extreme,113761,46370,18777,5793
Austria,Granite Ice,0,6331,14420,14535
Austria,TrailChef Canteen,6732,8478,26961,17878
Austria,EverGlow Single,6334,5317,14364,10625
Austria,Aloe Relief,3953,1432,1810,340
Austria,Husky Rope 60,0,1386,4152,3249
Austria,TrailChef Utensils,8691,12145,29796,15415
Austria,Firefly Lite,6791,5758,17814,13994
Austria,Granite Axe,0,12242,36092,38740
Austria,Hawk Eye,10962,8575,35756,21409
Austria,Course Pro Golf and Tee Set,8225,11534,7865,12464
Austria,BugShield Lotion,25763,16789,7606,1297
Austria,Polar Wave,743,459,846,669
Austria,Mountain Man Analog,1982,6422,11403,7499
Austria,Husky Harness Extreme,0,7256,16837,17030
Austria,Deluxe Family Relief Kit,8308,4169,1529,527
Austria,Canyon Mule Climber Backpack,8392,8230,18581,16035
Austria,Granite Chalk Bag,0,3426,8183,6900
Austria,Fairway,64191,55896,51436,20688
Austria,Sun Shelter 30,37376,61534,25003,3284
Austria,Seeker 35,2061,3201,6456,7512
Austria,Star Gazer 2,2453,1964,3002,3142
Austria,Lady Hailstorm Titanium Irons,544,417,623,720
Austria,Sun Shelter Stick,9721,18146,4636,1510
Austria,Star Lite,4738,2785,5455,6087
Austria,Husky Harness,0,5185,15326,9918
Austria,Firefly Multi-light,3825,2841,6491,4038
Austria,Granite Climbing Helmet,0,7387,21062,14012
Austria,EverGlow Lamp,12524,12076,33523,19335
Austria,Firefly Rechargeable Battery,0,30172,54534,73450
Austria,TrailChef Cook Set,10658,13107,22283,26871
Austria,Polar Sun,1646,7108,14719,9741
Austria,Star Gazer 3,1498,1143,1892,1869
Austria,Hailstorm Titanium Irons,521,759,965,1260
Austria,Granite Shovel,0,2843,7159,7332
Austria,Zone,112395,97256,100245,60050
Austria,Granite Grip,0,9138,23089,21026
Austria,Kodiak,9598,6886,4845,2284
Austria,Course Pro Umbrella,9829,10734,10391,7308
Belgium,Trail Master,363,322,0,0
Belgium,Firefly 4,1021,3994,4004,2538
Belgium,Edge Extreme,1727,5601,10488,8525
Belgium,Firefly Charger,0,7657,10367,13693
Belgium,Granite Pulley,0,7680,14941,13640
Belgium,Granite Belay,0,5068,9740,9417
Belgium,Calamine Relief,775,1449,524,308
Belgium,Glacier Deluxe,925,1386,1792,2968
Belgium,Seeker Mini,652,1720,1980,960
Belgium,BugShield Natural,12710,24035,5998,2065
Belgium,Single Edge,15084,28199,39419,80796
Belgium,Sun Shelter Stick,9794,23542,2917,1306
Belgium,Granite Grip,0,12802,20505,20560
Belgium,Polar Extreme,154,169,298,194
Belgium,Granite Axe,0,20337,32527,37475
Belgium,Bella,1204,2657,5876,8234
Belgium,Glacier Basic,6907,8398,17858,21005
Belgium,Insect Bite Relief,1206,2565,1044,604
Belgium,Canyon Mule Carryall,1705,4454,3591,5716
Belgium,Firefly Extreme,812,2641,3088,4175
Belgium,Canyon Mule Climber Backpack,2077,7505,10877,11738
Belgium,Trail Scout,830,714,522,0
Belgium,Sun Shield,11992,13380,2940,1721
Belgium,Flicker Lantern,793,2514,2312,2269
Belgium,Firefly Multi-light,1261,1696,2389,3511
Belgium,Pocket Gizmo,10883,19540,11896,4068
Belgium,TrailChef Kettle,8230,28569,22005,26334
Belgium,Dante,14325,11153,18053,10962
Belgium,Husky Rope 60,0,2292,2868,1897
Belgium,EverGlow Kerosene,1010,1910,3540,3738
Belgium,Firefly Lite,2408,8771,8544,7260
Belgium,Bear Survival Edge,700,680,2655,1667
Belgium,Retro,0,3851,24934,15177
Belgium,Lady Hailstorm Titanium Irons,468,1195,1653,1816
Belgium,Sun Shelter 15,11627,25402,2970,2450
Belgium,Polar Wave,115,281,490,290
Belgium,Granite Signal Mirror,0,2969,5211,6443
Belgium,Hailstorm Titanium Woods Set,702,1813,2249,2008
Belgium,Astro Pilot,0,943,5682,2073
Belgium,TrailChef Utensils,5510,11062,16383,10831
Belgium,Course Pro Umbrella,5400,24990,22183,19000
Belgium,Husky Rope 100,0,3658,4869,3599
Belgium,Hibernator Lite,2796,8333,8629,10568
Belgium,TrailChef Canteen,4028,13200,11895,10295
Belgium,Opera Vision,924,1524,1391,0
Belgium,Hailstorm Steel Woods Set,500,2764,3215,2679
Belgium,EverGlow Lamp,4837,9693,12618,15277
Belgium,Granite Climbing Helmet,0,11337,12961,9586
Belgium,Blue Steel Max Putter,1817,4236,4782,4217
Belgium,Inferno,7045,13004,20087,24374
Belgium,Lady Hailstorm Steel Irons,661,1553,1951,1727
Belgium,Polar Sports,356,568,4878,2615
Belgium,Mountain Man Digital,770,1376,865,1201
Belgium,Hailstorm Titanium Irons,635,1488,2540,2513
Belgium,Lady Hailstorm Steel Woods Set,446,1191,1756,1424
Belgium,Star Gazer 3,418,1669,1947,1675
Belgium,Firefly Mapreader,2569,7274,12464,14404
Belgium,Course Pro Golf Bag,872,2467,2278,1709
Belgium,TrailChef Kitchen Kit,3547,10050,9201,6840
Belgium,Seeker Extreme,389,1526,2841,1384
Belgium,TrailChef Single Flame,2257,10360,11410,9796
Belgium,Sun Blocker,4652,11512,2165,1060
Belgium,Deluxe Family Relief Kit,1914,1577,717,353
Belgium,Blue Steel Putter,1931,5249,4951,3775
Belgium,Fairway,18430,26879,49481,30271
Belgium,Granite Hammer,0,4804,7785,8425
Belgium,Infinity,1443,4277,7861,4942
Belgium,Trendi,8825,13811,5066,5507
Belgium,Star Gazer 6,145,345,413,533
Belgium,Maximus,5573,8618,20642,14687
Belgium,Zone,33921,46372,63856,51333
Belgium,Aloe Relief,1714,1334,760,358
Belgium,Trail Star,2201,11,0,0
Belgium,Ranger Vision,2022,4073,4306,2669
Belgium,Canyon Mule Extreme Backpack,421,2483,3113,2759
Belgium,Kodiak,3790,3314,1640,429
Belgium,Hibernator Pillow,2420,5540,5193,5417
Belgium,BugShield Lotion Lite,2496,6466,1340,1290
Belgium,Bear Edge,848,3093,6432,4670
Belgium,Husky Harness Extreme,0,10099,14882,10336
Belgium,Star Peg,8639,23257,26502,35865
Belgium,Hibernator Camp Cot,735,5165,4576,2648
Belgium,Firefly 2,2172,5835,4692,8335
Belgium,Course Pro Putter,7031,22124,17928,16140
Belgium,Granite Extreme,0,14009,22909,22146
Belgium,Course Pro Golf and Tee Set,6486,21955,24131,17053
Belgium,Mountain Man Analog,753,2576,2993,2273
Belgium,Course Pro Gloves,5730,29115,23364,22155
Belgium,EverGlow Single,2084,5519,6425,8258
Belgium,Canyon Mule Weekender Backpack,939,2453,3533,2808
Belgium,Sun Shelter 30,20086,51241,6856,3749
Belgium,Hibernator Extreme,1580,7152,8624,8046
Belgium,Hailstorm Steel Irons,796,2986,3368,3291
Belgium,Legend,3968,2506,3237,1420
Belgium,TrailChef Double Flame,729,4453,4734,3498
Belgium,Granite Shovel,0,3822,6018,5682
Belgium,Firefly Rechargeable Battery,0,33373,41779,49583
Belgium,Cat Eye,24568,20107,23355,49084
Belgium,Firefly Climbing Lamp,0,4627,7342,10336
Belgium,Lady Hailstorm Titanium Woods Set,460,1021,1294,1093
Belgium,Husky Rope 50,0,4234,5446,3924
Belgium,Hibernator,2143,3849,9835,3465
Belgium,Granite Ice,0,6958,11413,12449
Belgium,Venue,10857,7135,6243,7760
Belgium,TrailChef Cup,4634,19510,24770,38125
Belgium,Max Gizmo,5607,6428,4789,3818
Belgium,BugShield Lotion,6271,12565,2841,941
Belgium,Granite Chalk Bag,0,5379,6909,6271
Belgium,Zodiak,0,1431,2656,1135
Belgium,Lux,1665,2395,1974,955
Belgium,Star Gazer 2,887,2018,2721,3152
Belgium,Husky Rope 200,0,1928,2497,1690
Belgium,Glacier GPS,1493,2189,4999,8219
Belgium,Capri,9226,7045,5347,19390
Belgium,Husky Harness,0,7366,11469,8864
Belgium,Polar Ice,433,1227,1549,776
Belgium,Compact Relief Kit,1691,2719,1391,377
Belgium,Double Edge,3347,9236,16067,10358
Belgium,Glacier GPS Extreme,786,2123,3355,3380
Belgium,Mountain Man Combination,320,486,687,456
Belgium,Mountain Man Extreme,205,450,746,636
Belgium,Seeker 50,620,1963,2291,2013
Belgium,Hawk Eye,3654,8269,25666,26052
Belgium,Canyon Mule Cooler,4082,7303,15226,12933
Belgium,Sky Pilot,0,374,817,713
Belgium,BugShield Extreme,26211,73381,12522,3578
Belgium,Star Lite,1464,4101,3443,5305
Belgium,Seeker 35,829,2286,2695,3650
Belgium,Canyon Mule Journey Backpack,1441,4308,3157,3915
Belgium,TrailChef Deluxe Cook Set,1369,6105,6572,5292
Belgium,Polar Sun,423,5904,7948,3400
Belgium,TrailChef Cook Set,3941,7325,7309,9519
Belgium,Hibernator Self - Inflating Mat,1572,4623,7606,5431
Belgium,TrailChef Water Bag,19545,77796,46566,107236
Belgium,BugShield Spray,5071,8010,2891,878
Belgium,Auto Pilot,0,0,946,305
Belgium,Mountain Man Deluxe,493,1302,2292,3248
Belgium,Sam,4821,2665,5762,12168
Belgium,TX,6944,6732,7571,3460
Belgium,EverGlow Double,277,405,513,796
Belgium,Hibernator Pad,2417,3565,4584,7046
Belgium,Granite Carabiner,0,67147,100325,151791
Belgium,Star Dome,739,1917,2936,1367
Belgium,EverGlow Butane,635,1659,2194,2644
Brazil,Polar Extreme,225,102,141,185
Brazil,Sun Shelter 15,12014,9608,4303,1557
Brazil,Firefly Lite,3854,3990,4789,3145
Brazil,Star Dome,881,1138,1328,949
Brazil,Mountain Man Extreme,269,158,151,177
Brazil,Calamine Relief,1849,767,422,220
Brazil,Auto Pilot,0,0,502,467
Brazil,Hibernator Pad,2473,4345,4442,3235
Brazil,Opera Vision,1132,1104,339,0
Brazil,TrailChef Cup,9343,13981,12900,11895
Brazil,Polar Sun,633,3563,4074,3614
Brazil,Pocket Gizmo,17829,15154,11362,8743
Brazil,Glacier Basic,5976,6069,6579,7604
Brazil,Hibernator Extreme,1874,2313,3011,1866
Brazil,Firefly Multi-light,1899,1944,2136,1708
Brazil,Sam,8725,3223,5131,7299
Brazil,Sun Shield,10584,11215,2759,1835
Brazil,Single Edge,24326,22285,34451,22435
Brazil,Lady Hailstorm Steel Woods Set,317,384,510,421
Brazil,Glacier GPS,2192,2256,3044,3035
Brazil,Flicker Lantern,1401,1549,1618,1106
Brazil,Sky Pilot,0,254,473,305
Brazil,Aloe Relief,2216,978,914,289
Brazil,Granite Chalk Bag,0,1356,1718,2085
Brazil,Star Gazer 6,226,338,372,241
Brazil,Granite Pulley,0,2865,3588,4225
Brazil,Lux,1394,2054,2531,771
Brazil,Granite Hammer,0,1541,2605,1954
Brazil,Ranger Vision,1719,3167,2597,2352
Brazil,Lady Hailstorm Steel Irons,545,457,626,467
Brazil,Kodiak,4195,2717,1425,1032
Brazil,Canyon Mule Climber Backpack,3040,4249,5688,3927
Brazil,TrailChef Cook Set,5269,6279,5581,4485
Brazil,Cat Eye,27347,19740,17646,27616
Brazil,Firefly Charger,0,2147,2606,3250
Brazil,Hailstorm Steel Woods Set,331,731,1020,818
Brazil,Husky Harness Extreme,0,2823,4030,3401
Brazil,Glacier GPS Extreme,820,814,911,1077
Brazil,Course Pro Golf Bag,701,756,954,622
Brazil,Max Gizmo,5581,5958,4257,3431
Brazil,Hailstorm Steel Irons,652,845,1149,831
Brazil,Firefly Climbing Lamp,0,1544,1826,2402
Brazil,TrailChef Water Bag,29201,30292,30992,24836
Brazil,Firefly Mapreader,5089,5931,6180,4718
Brazil,Hailstorm Titanium Irons,709,598,919,779
Brazil,TrailChef Double Flame,1647,1798,1877,1264
Brazil,Canyon Mule Cooler,4307,6122,8851,6971
Brazil,Canyon Mule Journey Backpack,1422,1986,2825,2062
Brazil,Polar Ice,601,776,760,930
Brazil,Mountain Man Combination,477,428,300,245
Brazil,Bella,1373,3626,3308,4844
Brazil,Seeker 50,1029,971,1285,1156
Brazil,Bear Edge,1888,2229,3050,2043
Brazil,BugShield Lotion,10015,7561,3156,1149
Brazil,TrailChef Canteen,6102,7206,6916,4930
Brazil,Sun Shelter Stick,8205,8861,2586,1212
Brazil,Venue,13621,9168,6423,4066
Brazil,Zone,42087,50987,54291,25224
Brazil,Trail Scout,746,846,653,0
Brazil,Husky Rope 60,0,460,824,791
Brazil,Hibernator,3191,3673,4784,3016
Brazil,TX,6976,5519,6080,3532
Brazil,Sun Shelter 30,20639,21865,6693,3094
Brazil,Firefly Extreme,1187,1252,1397,928
Brazil,Canyon Mule Weekender Backpack,1593,2387,3092,1902
Brazil,TrailChef Single Flame,3950,5104,4855,3751
Brazil,Lady Hailstorm Titanium Irons,504,422,607,432
Brazil,Granite Grip,0,3489,5998,4320
Brazil,Firefly 4,1952,1840,2519,1582
Brazil,TrailChef Utensils,5582,6736,9082,6096
Brazil,Insect Bite Relief,1930,1204,628,307
Brazil,Deluxe Family Relief Kit,2397,1663,815,400
Brazil,Firefly Rechargeable Battery,0,9848,11546,14241
Brazil,Seeker 35,1804,1757,2295,2193
Brazil,BugShield Spray,10417,6133,3400,1095
Brazil,TrailChef Kettle,12950,17780,17758,13266
Brazil,Star Lite,2945,4053,4217,3028
Brazil,Trail Master,650,302,0,0
Brazil,Star Peg,12886,15094,20253,12595
Brazil,Star Gazer 3,806,1029,1055,703
Brazil,Hawk Eye,3772,5760,16693,13227
Brazil,EverGlow Single,3460,4555,4944,3487
Brazil,Edge Extreme,2024,1839,2855,1851
Brazil,Lady Hailstorm Titanium Woods Set,285,411,513,412
Brazil,BugShield Lotion Lite,4905,3735,1485,756
Brazil,Mountain Man Digital,926,864,647,671
Brazil,Hibernator Camp Cot,1834,2584,2628,1909
Brazil,Capri,9414,6434,3302,11634
Brazil,TrailChef Kitchen Kit,5282,6848,5958,4665
Brazil,Polar Sports,685,557,2404,2674
Brazil,Bear Survival Edge,755,842,1000,817
Brazil,Husky Rope 50,0,860,1461,1392
Brazil,Inferno,9285,8973,14397,9203
Brazil,Seeker Extreme,654,623,944,855
Brazil,Polar Wave,309,178,198,204
Brazil,Double Edge,4577,4465,6686,4405
Brazil,Firefly 2,3656,4517,4583,2966
Brazil,Legend,3850,3023,3522,1498
Brazil,Canyon Mule Extreme Backpack,804,948,1411,918
Brazil,Trendi,7621,11241,2638,2055
Brazil,Hibernator Lite,3762,4591,5694,3667
Brazil,TrailChef Deluxe Cook Set,2879,3258,3107,2477
Brazil,Seeker Mini,1013,1354,1628,1134
Brazil,Canyon Mule Carryall,2553,3630,4136,2580
Brazil,Astro Pilot,0,1429,3145,1848
Brazil,Course Pro Umbrella,6145,6924,8112,5823
Brazil,Sun Blocker,7110,6311,1960,909
Brazil,Star Gazer 2,1563,2065,2384,1589
Brazil,Course Pro Gloves,6262,7021,9213,8335
Brazil,Hibernator Pillow,2252,3216,3570,2690
Brazil,Fairway,24563,29115,34491,10722
Brazil,Mountain Man Analog,1186,2773,2527,2053
Brazil,Infinity,1799,2712,4925,3536
Brazil,Granite Ice,0,2267,4120,2927
Brazil,Granite Signal Mirror,0,1477,1429,1596
Brazil,Mountain Man Deluxe,1079,755,1337,1631
Brazil,Maximus,6833,8876,13677,9961
Brazil,EverGlow Kerosene,2281,2245,2438,1946
Brazil,Granite Axe,0,5566,9354,6760
Brazil,Husky Rope 100,0,800,1316,1288
Brazil,BugShield Natural,17617,10277,4808,1825
Brazil,Granite Extreme,0,3943,6643,4871
Brazil,Husky Harness,0,2130,2939,2492
Brazil,BugShield Extreme,37314,22788,10689,4216
Brazil,Granite Carabiner,0,23590,27617,27499
Brazil,Granite Shovel,0,1120,2009,1419
Brazil,Granite Belay,0,1820,2291,2773
Brazil,Blue Steel Putter,1657,2069,1911,1112
Brazil,Hailstorm Titanium Woods Set,512,597,862,741
Brazil,Blue Steel Max Putter,1683,1823,1808,1225
Brazil,Glacier Deluxe,977,1043,1306,1145
Brazil,Course Pro Golf and Tee Set,5621,6541,7385,6168
